job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,job_title_grouped,location_grouped,residence_grouped,skills_grouped,industry_grouped
Deep Learning Engineer,60826,0,2,United Kingdom,2,United Kingdom,0,"SQL, Kubernetes, Azure",-1,0,Energy,6.3,-1,-1,18,-1,-1
Deep Learning Engineer,237320,1,3,United Kingdom,1,United Kingdom,0,"Kubernetes, MLOps, Scala",-1,16,Real Estate,7.7,-1,-1,18,-1,-1
Robotics Engineer,60243,0,1,France,1,France,100,"Scala, PyTorch, Data Visualization, Linux, Mathematics",-1,1,Healthcare,8.8,-1,-1,6,-1,-1
Head of AI,74091,0,3,Japan,1,Japan,50,"Deep Learning, NLP, R, Linux, SQL",-1,1,Consulting,7.2,-1,-1,11,-1,-1
AI Specialist,68535,0,2,France,0,France,100,"SQL, Scala, PyTorch",-1,1,Media,5.5,-1,-1,6,-1,-1
Robotics Engineer,99401,2,1,Norway,2,Norway,50,"Hadoop, Kubernetes, Data Visualization, Python, Linux",-1,3,Healthcare,9.4,-1,-1,13,-1,-1
Machine Learning Researcher,67632,0,2,Ireland,0,Ireland,0,"Linux, GCP, Deep Learning",-1,0,Government,8.9,-1,-1,9,-1,-1
ML Ops Engineer,133163,3,0,Netherlands,1,Netherlands,0,"SQL, Statistics, MLOps, PyTorch, Kubernetes",-1,6,Media,7.9,-1,-1,12,-1,-1
Robotics Engineer,125752,2,2,Norway,2,Norway,0,"NLP, Statistics, Scala",-1,4,Automotive,6.0,-1,-1,13,-1,-1
AI Product Manager,70927,0,0,Japan,1,Japan,0,"Git, Computer Vision, Docker, SQL, Hadoop",-1,1,Technology,9.3,-1,-1,11,-1,-1
Data Engineer,80810,0,3,United Kingdom,0,United Kingdom,0,"Azure, MLOps, Python, Linux, TensorFlow",-1,1,Energy,5.4,-1,-1,18,-1,-1
Machine Learning Engineer,59614,0,0,Singapore,2,Singapore,100,"Java, Kubernetes, GCP, Linux, Data Visualization",-1,1,Healthcare,7.3,-1,-1,14,-1,-1
Robotics Engineer,151907,1,2,Germany,2,Ghana,50,"Python, R, MLOps",-1,16,Media,6.1,-1,-1,-1,-1,-1
Data Scientist,76317,1,0,India,1,India,0,"TensorFlow, Deep Learning, Spark",-1,14,Energy,9.1,-1,-1,8,-1,-1
AI Research Scientist,160534,3,1,Denmark,1,Denmark,100,"GCP, SQL, MLOps",-1,9,Gaming,8.3,-1,-1,4,-1,-1
AI Consultant,40687,2,2,India,0,India,50,"SQL, R, GCP, PyTorch, AWS",-1,3,Transportation,7.3,-1,-1,8,-1,-1
Computer Vision Engineer,129265,3,1,Australia,2,Australia,0,"Java, Scala, TensorFlow",-1,5,Consulting,6.9,-1,-1,0,-1,-1
NLP Engineer,94396,1,3,China,1,China,100,"Scala, Python, Tableau, Mathematics",-1,18,Government,9.5,-1,-1,3,-1,-1
NLP Engineer,158237,1,0,South Korea,0,South Korea,0,"Python, NLP, GCP",-1,11,Finance,6.0,-1,-1,15,-1,-1
Robotics Engineer,239068,1,3,Denmark,0,Denmark,50,"TensorFlow, Java, NLP, Hadoop, GCP",-1,18,Media,6.8,-1,-1,4,-1,-1
Robotics Engineer,81401,2,1,Finland,1,Belgium,0,"Java, Spark, Data Visualization, AWS, Git",-1,2,Retail,6.3,-1,-1,-1,-1,-1
AI Specialist,144229,2,2,Switzerland,1,Japan,0,"Python, TensorFlow, MLOps, PyTorch",-1,2,Media,9.5,-1,-1,11,-1,-1
AI Consultant,78936,2,1,Germany,2,Germany,0,"Mathematics, Tableau, R, NLP, SQL",-1,4,Consulting,6.9,-1,-1,7,-1,-1
AI Consultant,101054,3,3,South Korea,0,United Kingdom,0,"PyTorch, Python, TensorFlow",-1,6,Healthcare,8.8,-1,-1,18,-1,-1
AI Specialist,91807,3,2,Austria,2,Austria,50,"Linux, Azure, Scala, Python",-1,9,Education,8.3,-1,-1,1,-1,-1
Machine Learning Engineer,49858,0,0,Austria,2,Singapore,100,"PyTorch, Spark, Linux",-1,1,Healthcare,9.2,-1,-1,14,-1,-1
Robotics Engineer,80596,0,2,Austria,0,Switzerland,0,"Kubernetes, Scala, PyTorch, Mathematics",-1,1,Education,6.8,-1,-1,17,-1,-1
Head of AI,76026,2,2,Sweden,1,Sweden,50,"Tableau, SQL, R, Scala",-1,4,Healthcare,8.0,-1,-1,16,-1,-1
Deep Learning Engineer,84841,2,0,Sweden,0,Sweden,0,"Azure, Linux, TensorFlow, GCP",-1,4,Transportation,5.7,-1,-1,16,-1,-1
Data Scientist,158900,3,1,Switzerland,1,Switzerland,50,"Python, Statistics, Mathematics, Docker, TensorFlow",-1,8,Finance,6.0,-1,-1,17,-1,-1
Autonomous Systems Engineer,153858,1,0,Germany,2,Germany,50,"MLOps, Azure, Java",-1,13,Gaming,5.1,-1,-1,7,-1,-1
Data Scientist,115314,2,0,Denmark,1,Finland,0,"Java, Git, R, Azure",-1,3,Real Estate,7.9,-1,-1,5,-1,-1
Machine Learning Engineer,181068,1,2,Israel,2,Israel,100,"R, Java, Hadoop, Mathematics",-1,13,Transportation,8.5,-1,-1,10,-1,-1
AI Software Engineer,119021,0,2,Denmark,0,Portugal,0,"Computer Vision, Docker, Linux, GCP",-1,1,Transportation,7.3,-1,-1,-1,-1,-1
Data Analyst,219746,1,1,Israel,1,Czech Republic,100,"R, Python, Scala, TensorFlow",-1,15,Finance,7.0,-1,-1,-1,-1,-1
AI Consultant,115774,1,1,China,0,China,50,"Hadoop, Scala, NLP, PyTorch, SQL",-1,10,Real Estate,5.3,-1,-1,3,-1,-1
AI Consultant,130984,0,3,Switzerland,0,Philippines,50,"MLOps, Deep Learning, Kubernetes, Azure, GCP",-1,1,Retail,5.3,-1,-1,-1,-1,-1
ML Ops Engineer,191223,1,2,Switzerland,2,Germany,0,"NLP, Azure, SQL",-1,18,Healthcare,6.8,-1,-1,7,-1,-1
AI Consultant,155502,3,2,Norway,1,Italy,50,"Python, NLP, AWS, Spark",-1,9,Consulting,7.6,-1,-1,-1,-1,-1
AI Specialist,86140,2,3,Germany,0,South Korea,50,"Scala, Kubernetes, Deep Learning, AWS",-1,4,Real Estate,7.3,-1,-1,15,-1,-1
AI Architect,96028,2,1,United Kingdom,0,Australia,0,"Data Visualization, MLOps, GCP, PyTorch",-1,4,Healthcare,6.6,-1,-1,0,-1,-1
Principal Data Scientist,134920,3,3,United States,2,United States,0,"SQL, Mathematics, Data Visualization, Kubernetes",-1,7,Consulting,6.7,-1,-1,19,-1,-1
Research Scientist,107694,3,1,Ireland,1,Estonia,50,"Spark, Linux, MLOps, R",-1,5,Retail,5.1,-1,-1,-1,-1,-1
Deep Learning Engineer,114301,2,2,Finland,0,Finland,0,"Tableau, MLOps, Python",-1,4,Real Estate,7.5,-1,-1,5,-1,-1
Machine Learning Researcher,92728,2,2,United Kingdom,0,United Kingdom,0,"NLP, Git, Kubernetes, Azure",-1,4,Transportation,9.3,-1,-1,18,-1,-1
NLP Engineer,76826,0,3,Singapore,1,Singapore,50,"Git, R, Statistics, PyTorch, Deep Learning",-1,1,Government,7.4,-1,-1,14,-1,-1
AI Consultant,48870,3,3,India,0,India,0,"Hadoop, Java, Azure, Spark, Statistics",-1,7,Healthcare,5.6,-1,-1,8,-1,-1
Data Scientist,89527,2,2,Australia,0,United States,50,"Linux, Azure, SQL, R, Java",-1,4,Finance,5.8,-1,-1,19,-1,-1
Autonomous Systems Engineer,81103,0,0,Australia,0,Australia,0,"Mathematics, SQL, Kubernetes",-1,0,Media,7.0,-1,-1,0,-1,-1
Machine Learning Engineer,283428,1,0,Denmark,0,Denmark,0,"Python, TensorFlow, MLOps, Data Visualization",-1,13,Healthcare,5.1,-1,-1,4,-1,-1
AI Product Manager,104906,2,1,United States,2,Portugal,50,"PyTorch, Java, Spark, Statistics",-1,3,Technology,8.0,-1,-1,-1,-1,-1
AI Software Engineer,231496,1,3,Finland,0,Finland,50,"Tableau, R, Kubernetes",-1,18,Automotive,5.5,-1,-1,5,-1,-1
Robotics Engineer,147402,3,2,Japan,0,Japan,100,"Azure, GCP, Scala, R, Python",-1,8,Automotive,7.0,-1,-1,11,-1,-1
Data Scientist,69331,0,2,Austria,0,Austria,100,"AWS, Git, NLP, Java, Computer Vision",-1,1,Healthcare,8.8,-1,-1,1,-1,-1
AI Consultant,215842,1,0,France,2,France,0,"Deep Learning, TensorFlow, Spark, Python",-1,12,Healthcare,6.7,-1,-1,6,-1,-1
Data Scientist,79833,3,3,South Korea,2,South Korea,0,"Java, SQL, PyTorch, TensorFlow, AWS",-1,6,Healthcare,5.7,-1,-1,15,-1,-1
Data Scientist,304859,1,2,Norway,0,Norway,100,"Linux, SQL, Mathematics",-1,15,Media,6.0,-1,-1,13,-1,-1
Research Scientist,112217,3,0,Germany,2,Israel,0,"Spark, Scala, Azure",-1,8,Technology,10.0,-1,-1,10,-1,-1
Head of AI,45738,0,1,South Korea,1,South Korea,100,"TensorFlow, Hadoop, Spark",-1,0,Manufacturing,9.5,-1,-1,15,-1,-1
Machine Learning Researcher,195309,1,3,Germany,2,Germany,50,"SQL, Tableau, PyTorch, NLP",-1,18,Consulting,5.3,-1,-1,7,-1,-1
Data Scientist,141439,3,1,United States,0,United States,50,"Kubernetes, GCP, Git, SQL",-1,9,Retail,6.3,-1,-1,19,-1,-1
AI Consultant,125836,2,2,Norway,0,Norway,100,"Statistics, Kubernetes, Spark, GCP",-1,2,Transportation,10.0,-1,-1,13,-1,-1
Machine Learning Researcher,58213,0,2,Israel,2,Thailand,50,"Azure, Linux, Kubernetes",-1,0,Telecommunications,5.5,-1,-1,-1,-1,-1
ML Ops Engineer,82191,2,0,Germany,1,Germany,0,"Spark, GCP, Hadoop",-1,2,Media,9.5,-1,-1,7,-1,-1
Machine Learning Researcher,207975,1,0,Australia,2,Colombia,0,"SQL, Azure, Computer Vision",-1,13,Telecommunications,9.9,-1,-1,-1,-1,-1
Computer Vision Engineer,115664,3,3,Ireland,1,Ireland,0,"TensorFlow, R, Data Visualization",-1,7,Automotive,7.8,-1,-1,9,-1,-1
AI Software Engineer,109337,3,3,Ireland,1,Ireland,50,"Data Visualization, PyTorch, Python, Mathematics, Git",-1,9,Government,8.1,-1,-1,9,-1,-1
Data Analyst,115386,3,3,Finland,1,Finland,100,"MLOps, Statistics, Hadoop, SQL",-1,7,Energy,6.7,-1,-1,5,-1,-1
Autonomous Systems Engineer,64431,0,2,United Kingdom,0,United Kingdom,50,"Git, Deep Learning, Python, Statistics, TensorFlow",-1,1,Automotive,9.0,-1,-1,18,-1,-1
Data Engineer,108088,3,1,United States,2,United States,100,"Tableau, Python, Docker, Azure",-1,9,Consulting,8.0,-1,-1,19,-1,-1
ML Ops Engineer,228314,1,2,United Kingdom,0,United Kingdom,50,"Java, Hadoop, SQL, Statistics, TensorFlow",-1,16,Telecommunications,6.5,-1,-1,18,-1,-1
Data Scientist,153260,3,0,Australia,0,Australia,0,"MLOps, Java, NLP",-1,9,Education,9.7,-1,-1,0,-1,-1
Data Scientist,63667,2,0,Israel,2,Norway,100,"R, Data Visualization, SQL, NLP",-1,4,Energy,7.9,-1,-1,13,-1,-1
Research Scientist,31185,2,1,China,2,Colombia,100,"AWS, GCP, NLP, SQL, Statistics",-1,3,Healthcare,9.2,-1,-1,-1,-1,-1
Machine Learning Engineer,132167,3,3,Germany,1,Germany,50,"MLOps, Docker, Linux, Computer Vision",-1,9,Education,6.2,-1,-1,7,-1,-1
AI Research Scientist,223349,1,1,Japan,0,Japan,100,"PyTorch, Mathematics, TensorFlow",-1,11,Gaming,5.9,-1,-1,11,-1,-1
AI Architect,26957,0,0,India,1,India,100,"Azure, Computer Vision, Statistics",-1,1,Transportation,9.5,-1,-1,8,-1,-1
AI Software Engineer,93564,2,0,Sweden,2,Sweden,0,"PyTorch, Docker, Data Visualization, Scala, Computer Vision",-1,2,Transportation,9.7,-1,-1,16,-1,-1
Computer Vision Engineer,113846,3,3,France,2,France,100,"SQL, Git, R, Hadoop, Docker",-1,6,Energy,7.8,-1,-1,6,-1,-1
AI Specialist,147580,1,1,France,1,France,0,"Linux, Deep Learning, Hadoop, Kubernetes, Docker",-1,17,Telecommunications,5.9,-1,-1,6,-1,-1
Data Engineer,50514,0,3,Canada,1,Philippines,100,"SQL, PyTorch, Tableau, NLP",-1,1,Automotive,9.0,-1,-1,-1,-1,-1
AI Product Manager,94158,2,1,Germany,1,Vietnam,100,"PyTorch, R, Scala",-1,2,Education,5.5,-1,-1,-1,-1,-1
Principal Data Scientist,161009,1,1,Netherlands,1,Netherlands,50,"Kubernetes, AWS, GCP",-1,19,Transportation,7.1,-1,-1,12,-1,-1
Data Analyst,91911,1,2,India,0,India,100,"PyTorch, SQL, Azure, Docker",-1,15,Technology,5.9,-1,-1,8,-1,-1
AI Specialist,248071,1,1,Germany,1,Czech Republic,50,"Kubernetes, R, GCP",-1,15,Consulting,7.6,-1,-1,-1,-1,-1
Autonomous Systems Engineer,150204,3,3,Germany,1,Germany,50,"Docker, Linux, Kubernetes, Data Visualization",-1,9,Transportation,6.3,-1,-1,7,-1,-1
AI Product Manager,181517,3,0,Netherlands,0,Netherlands,50,"SQL, Kubernetes, NLP, MLOps",-1,9,Government,8.9,-1,-1,12,-1,-1
Data Analyst,64573,0,3,France,0,France,100,"Kubernetes, GCP, Mathematics, Python",-1,1,Government,9.2,-1,-1,6,-1,-1
ML Ops Engineer,89332,2,0,United States,2,United States,100,"Python, TensorFlow, Deep Learning, Docker, PyTorch",-1,4,Finance,6.0,-1,-1,19,-1,-1
Machine Learning Engineer,118239,3,1,Sweden,2,Indonesia,50,"AWS, Hadoop, PyTorch, Statistics, Azure",-1,9,Energy,8.1,-1,-1,-1,-1,-1
AI Specialist,103715,2,2,Japan,2,Japan,50,"Python, Azure, Statistics",-1,4,Automotive,9.3,-1,-1,11,-1,-1
AI Consultant,151680,1,1,Australia,2,Australia,100,"Computer Vision, AWS, Kubernetes",-1,14,Manufacturing,6.9,-1,-1,0,-1,-1
Data Analyst,142589,3,2,Netherlands,0,Netherlands,0,"Docker, Tableau, Kubernetes, Data Visualization, GCP",-1,8,Government,6.0,-1,-1,12,-1,-1
Research Scientist,63062,0,3,Sweden,0,Sweden,50,"PyTorch, R, Mathematics, Kubernetes",-1,1,Real Estate,6.7,-1,-1,16,-1,-1
Data Engineer,80691,0,0,Japan,0,Japan,100,"Deep Learning, Computer Vision, PyTorch, Statistics, Spark",-1,1,Retail,8.1,-1,-1,11,-1,-1
Data Analyst,171580,3,3,Japan,0,Kenya,100,"SQL, Spark, MLOps",-1,7,Manufacturing,6.7,-1,-1,-1,-1,-1
Autonomous Systems Engineer,58331,3,3,China,1,Chile,0,"Hadoop, Java, NLP, Mathematics, Python",-1,5,Transportation,6.1,-1,-1,-1,-1,-1
Head of AI,85620,2,2,Canada,0,Canada,100,"TensorFlow, GCP, MLOps, NLP",-1,4,Healthcare,5.8,-1,-1,2,-1,-1
AI Consultant,220871,1,2,Austria,1,Austria,0,"Linux, Tableau, Spark, Scala",-1,14,Automotive,5.2,-1,-1,1,-1,-1
ML Ops Engineer,93007,2,0,France,1,France,50,"Docker, SQL, MLOps, GCP, Hadoop",-1,4,Energy,6.4,-1,-1,6,-1,-1
AI Specialist,191783,1,2,Singapore,2,Singapore,100,"Java, GCP, PyTorch",-1,14,Healthcare,5.6,-1,-1,14,-1,-1
Head of AI,83683,2,1,Israel,2,Czech Republic,50,"Mathematics, Computer Vision, MLOps, Git, Deep Learning",-1,3,Education,5.3,-1,-1,-1,-1,-1
Research Scientist,107869,3,1,Ireland,2,Ireland,50,"SQL, Linux, GCP",-1,8,Finance,7.3,-1,-1,9,-1,-1
Autonomous Systems Engineer,73528,2,3,Sweden,2,Poland,0,"NLP, R, Git, MLOps",-1,2,Finance,8.0,-1,-1,-1,-1,-1
NLP Engineer,47642,2,1,China,0,Sweden,100,"Python, TensorFlow, NLP",-1,3,Telecommunications,8.0,-1,-1,16,-1,-1
AI Software Engineer,179937,3,3,Netherlands,0,Netherlands,50,"Python, TensorFlow, NLP, Kubernetes",-1,6,Real Estate,8.1,-1,-1,12,-1,-1
Data Engineer,157066,2,3,Switzerland,0,Sweden,0,"GCP, Docker, NLP, Data Visualization",-1,2,Transportation,9.0,-1,-1,16,-1,-1
Data Scientist,57299,0,0,Israel,1,Israel,0,"PyTorch, Spark, TensorFlow",-1,1,Retail,7.8,-1,-1,10,-1,-1
Data Engineer,176844,1,1,Canada,0,France,50,"Linux, Scala, Tableau",-1,10,Telecommunications,5.4,-1,-1,6,-1,-1
AI Research Scientist,64892,0,0,Canada,1,Canada,50,"Kubernetes, Scala, Azure, Computer Vision",-1,1,Transportation,5.7,-1,-1,2,-1,-1
AI Specialist,63024,0,0,Austria,0,Austria,0,"Git, Statistics, Data Visualization",-1,1,Gaming,9.2,-1,-1,1,-1,-1
Principal Data Scientist,136695,2,1,Switzerland,2,Switzerland,50,"Linux, GCP, Tableau, Java",-1,2,Gaming,5.9,-1,-1,17,-1,-1
Data Scientist,69744,0,3,South Korea,0,South Korea,50,"Python, Docker, Tableau",-1,1,Telecommunications,8.4,-1,-1,15,-1,-1
AI Specialist,135137,1,1,Austria,1,Austria,0,"Kubernetes, GCP, Data Visualization",-1,18,Finance,5.4,-1,-1,1,-1,-1
Computer Vision Engineer,143037,1,1,Sweden,2,Sweden,0,"Data Visualization, Linux, Azure, Java",-1,13,Manufacturing,9.5,-1,-1,16,-1,-1
Machine Learning Engineer,113068,3,2,United Kingdom,1,United Kingdom,100,"Docker, Scala, Java, Data Visualization, Kubernetes",-1,9,Gaming,6.6,-1,-1,18,-1,-1
AI Software Engineer,113917,3,3,United Kingdom,2,Russia,0,"SQL, Kubernetes, GCP",-1,9,Government,7.3,-1,-1,-1,-1,-1
Head of AI,80311,1,3,India,1,India,50,"Git, GCP, Computer Vision, Kubernetes, Docker",-1,13,Finance,5.0,-1,-1,8,-1,-1
Autonomous Systems Engineer,160261,3,0,Germany,0,Germany,50,"AWS, Linux, Scala, GCP, Python",-1,6,Education,9.9,-1,-1,7,-1,-1
Research Scientist,152241,3,1,Switzerland,2,Switzerland,50,"Kubernetes, SQL, Git, PyTorch, Computer Vision",-1,8,Gaming,5.9,-1,-1,17,-1,-1
Research Scientist,74172,2,0,Israel,1,Israel,100,"Statistics, Kubernetes, GCP, Spark",-1,2,Government,7.5,-1,-1,10,-1,-1
Computer Vision Engineer,105632,2,1,Finland,0,Norway,100,"AWS, R, MLOps",-1,3,Government,9.4,-1,-1,13,-1,-1
Principal Data Scientist,89515,2,0,Singapore,0,South Africa,100,"PyTorch, NLP, Computer Vision",-1,4,Gaming,7.4,-1,-1,-1,-1,-1
AI Software Engineer,102319,2,1,Denmark,1,Colombia,50,"Deep Learning, Mathematics, Data Visualization, NLP",-1,4,Energy,6.2,-1,-1,-1,-1,-1
AI Software Engineer,110536,2,0,Denmark,1,France,50,"SQL, Spark, Mathematics, Linux, TensorFlow",-1,2,Real Estate,5.4,-1,-1,6,-1,-1
NLP Engineer,176372,3,1,Denmark,2,Denmark,0,"SQL, AWS, Computer Vision",-1,5,Technology,8.0,-1,-1,4,-1,-1
AI Software Engineer,58111,0,2,Austria,2,Austria,100,"Docker, Linux, Java",-1,0,Finance,5.6,-1,-1,1,-1,-1
